image_name| comment_number| comment
19663663.jpg| 0| Four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .
19663663.jpg| 1| A group of young people sitting around visiting and drinking water and sodas .
19663663.jpg| 2| People are having a conversation and a water bottle fell on the ground .
19663663.jpg| 3| A group of people are sitting on a porch and talking .
19663663.jpg| 4| A group of friends out on a deck .
207344485.jpg| 0| A man wearing a helmet , red pants with white stripes going down the sides and a white and red shirt is on a small bicycle using only his hands while his legs are up in the air , while another man wearing a light blue shirt with dark blue trim and black pants with red stripes going up the sides is standing nearby , gesturing toward the first man and holding a small figurine of one of the seven dwarves .
207344485.jpg| 1| A young man performing a bicycle stunt on a very small platform , while another is spotting him .
207344485.jpg| 2| A man in a red outfit and black helmet is performing a stunt on a bicycle .
207344485.jpg| 3| One man watches as another man does a stunt on his bicycle .
207344485.jpg| 4| Two men one riding a bike and another holding a toy .
1000092795.jpg| 0| Two young guys with shaggy hair look at their hands while hanging out in the yard .
1000092795.jpg| 1| Two young , White males are outside near many bushes .
1000092795.jpg| 2| Two men in green shirts are standing in a yard .
1000092795.jpg| 3| A man in a blue shirt standing in a garden .
1000092795.jpg| 4| Two friends enjoy time spent together .
10002456.jpg| 0| Several men in hard hats are operating a giant pulley system .
10002456.jpg| 1| Workers look down from up above on a piece of equipment .
10002456.jpg| 2| Two men working on a machine wearing hard hats .
10002456.jpg| 3| Four men on top of a tall structure .
10002456.jpg| 4| Three men on a large rig .
1000268201.jpg| 0| A child in a pink dress is climbing up a set of stairs in an entry way .
1000268201.jpg| 1| A little girl in a pink dress going into a wooden cabin .
1000268201.jpg| 2| A little girl climbing the stairs to her playhouse .
1000268201.jpg| 3| A little girl climbing into a wooden playhouse 
1000268201.jpg| 4| A girl going into a wooden building .
1000344755.jpg| 0| Someone in a blue shirt and hat is standing on stair and leaning against a window .
1000344755.jpg| 1| A man in a blue shirt is standing on a ladder cleaning a window .
1000344755.jpg| 2| A man on a ladder cleans the window of a tall building .
1000344755.jpg| 3| man in blue shirt and jeans on ladder cleaning windows
1000344755.jpg| 4| a man on a ladder cleans a window
1000366164.jpg| 0| Two men , one in a gray shirt , one in a black shirt , standing near a stove .
1000366164.jpg| 1| Two guy cooking and joking around with the camera .
1000366164.jpg| 2| Two men in a kitchen cooking food on a stove .
1000366164.jpg| 3| Two men are at the stove preparing food .
1000366164.jpg| 4| Two men are cooking a meal .
1000523639.jpg| 0| Two people in the photo are playing the guitar and the other is poking at him .
1000523639.jpg| 1| A man in green holds a guitar while the other man observes his shirt .
1000523639.jpg| 2| A man is fixing the guitar players costume .
1000523639.jpg| 3| a guy stitching up another man 's coat .
1000523639.jpg| 4| the two boys playing guitar
10010052.jpg| 0| A girl is on rollerskates talking on her cellphone standing in a parking lot .
10010052.jpg| 1| A trendy girl talking on her cellphone while gliding slowly down the street .
10010052.jpg| 2| A young adult wearing rollerblades , holding a cellular phone to her ear .
10010052.jpg| 3| there is a young girl on her cellphone while skating .
10010052.jpg| 4| Woman talking on cellphone and wearing rollerskates .
1001465944.jpg| 0| An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
1001465944.jpg| 1| Three people are standing outside near large pipes and a metal railing .
1001465944.jpg| 2| A young woman walks past two young people dressed in hip black outfits .
1001465944.jpg| 3| A woman with a large purse is walking by a gate .
1001465944.jpg| 4| Several people standing outside a building .
1001545525.jpg| 0| Two men in Germany jumping over a rail at the same time without shirts .
1001545525.jpg| 1| Two youths are jumping over a roadside railing , at night .
1001545525.jpg| 2| Boys dancing on poles in the middle of the night .
1001545525.jpg| 3| Two men with no shirts jumping over a rail .
1001545525.jpg| 4| two guys jumping over a gate together
1003420127.jpg| 0| A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .
1003420127.jpg| 1| Five musicians , a man and four women , practicing sheet music (using flutes ) in a living room .
1003420127.jpg| 2| People gathered in a circle , some holding musical instruments .
1003420127.jpg| 3| People gathered in a room to talk about their favorite tunes .
1003420127.jpg| 4| Five people are sitting in a circle with instruments .
1003428081.jpg| 0| Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .
1003428081.jpg| 1| At least four instrumentalists play clarinets and other instruments in a curtained room .
1003428081.jpg| 2| Four women in a living room , three of which are clearly playing a musical instrument .
1003428081.jpg| 3| A bunch of elderly women play their clarinets together as they read off sheet music .
1003428081.jpg| 4| A group of four women , are performing music on their instruments .
100444898.jpg| 0| A person in gray stands alone on a structure outdoors in the dark .
100444898.jpg| 1| A large structure has broken and is laying in a roadway .
100444898.jpg| 2| A man in a gray coat is standing on a washed out bridge .
100444898.jpg| 3| A man stands on wooden supports and surveys damage .
100444898.jpg| 4| A man in a jacket and jeans standing on a bridge .
1005216151.jpg| 0| A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
1005216151.jpg| 1| A large crowd of people stand outside in front of the entrance to a Metro station .
1005216151.jpg| 2| A group of people are walking through a city street .
1005216151.jpg| 3| A crowd is portrayed near a metro station .
1005216151.jpg| 4| Crowd standing outside a metro area .
100577935.jpg| 0| A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
100577935.jpg| 1| A man is putting a tattoo on a another 's man upper back .
100577935.jpg| 2| A man with a black shirt giving another man a tattoo .
100577935.jpg| 3| A man is putting tattoo on his back .
100577935.jpg| 4| A man getting a tattoo on his back .
1006452823.jpg| 0| two children , a girl and a boy are practicing their writing .
1006452823.jpg| 1| Two children sit on a small seesaw in the sand .
1006452823.jpg| 2| Two children sitting on a teeter totter .
1006452823.jpg| 3| 2 kids playing on a seesaw
1006452823.jpg| 4| Two kids sit on a seesaw .
100652400.jpg| 0| A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
100652400.jpg| 1| A man wearing a hard hat and a caution vest is standing in the street waving an orange flag .
100652400.jpg| 2| A man in bright vest and hard hat holds a flag on a street corner covered in spray paint
100652400.jpg| 3| A construction worker is standing in the street and holding a red flag .
100652400.jpg| 4| A man wearing a reflective vest and a hard hat holds a flag in the road
1007129816.jpg| 0| The man with pierced ears is wearing glasses and an orange hat .
1007129816.jpg| 1| A man with glasses is wearing a beer can crocheted hat .
1007129816.jpg| 2| A man with gauges and glasses is wearing a Blitz hat .
1007129816.jpg| 3| A man in an orange hat starring at something .
1007129816.jpg| 4| A man wears an orange hat and glasses .
100716317.jpg| 0| A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
100716317.jpg| 1| A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene .
100716317.jpg| 2| A person with gray hair is painting in a public place surrounded by others who are also painting .
100716317.jpg| 3| Lady in blue coat with white and brown hat standing in front of a painting .
100716317.jpg| 4| Passerby admiring painting at an outdoor art fair .
1007205537.jpg| 0| A man stands on one foot while holding on to a waste basket .
1007205537.jpg| 1| A man in green pants and blue shirt pushing a cart .
1007205537.jpg| 2| Janitor pushing dolly outside with janitor tools .
1007205537.jpg| 3| A man in green pants walking down the road .
